ARIAL SDF	Fonts & Materials/ARIAL SDF		
Challenges/DLC_4/VIP_Eco_V2_Intro_Message	Someone from the Department of Green Things will be coming to the hospital to conduct an Eco Rating, soon.\n\nThey seemed really stressed… hopefully they're happy with the hospital, for their sake more than ours.		
Challenges/DLC_4/VIP_Eco_V3_Intro_Message	Someone from the Department of Green Things will be coming to the hospital to conduct an Eco Rating, soon.\n\nApparently there's a big debate coming up soon and a good rating would really help out the mayor. I'm not sure what that's got to do with us, but they seemed pretty convinced.		
Challenges/DLC_4/VIP_Inspector_R9_V1_Intro_Message	Henry Jobsworth, the County’s foremost health and safety inspector, has informed us that he’ll be visiting us for an inspection soon. Mr Jobsworth adds that he'd wear his hiking boots if he hadn't just leant them to his brother.\nHe’ll be arriving soon, a good report would help our reputation.		
Challenges/DLC_4/VIP_Inspector_R9_V2_Intro_Message	Henry Jobsworth, the County’s foremost health and safety inspector, has informed us that he’ll be visiting us for an inspection soon. Mr Jobsworth notes that his childhood dog went to live on a farm in this area and that he might pay her a visit.\nHe’ll be arriving soon, a good report would help our reputation.		
Challenges/DLC_4/VIP_Inspector_R9_V3_Intro_Message	Henry Jobsworth, the County’s foremost health and safety inspector, has informed us that he’ll be visiting us for an inspection soon. Mr Jobsworth \nHe’ll be arriving soon, a good report would help our reputation.		
Challenges/DLC_4/VIP_RivalBoss_Holistix_R9_V1_Intro_Message	CEO of Holistix, Augustus Lavender will be coming to the hospital, soon.\n\nHe wants to see how we're getting on and chat to some likeminded herb-chewers.		
Challenges/DLC_4/VIP_RivalBoss_Holistix_R9_V2_Intro_Message	CEO of Holistix, Augustus Lavender will be coming to the hospital, soon.\n\nHe needs to lie low for a while because a group of employees, who weren't thrilled with receiving a "homeopathic bonus", have set up camp outside of his house, complete with pitchforks and burning effigy.		
Challenges/DLC_4/VIP_RivalBoss_Holistix_R9_V3_Intro_Message	CEO of Holistix, Augustus Lavender will be coming to the hospital, soon.\n\nHe's in the area to check on the mushroom harvest for the company's new "Fungal Foot Cream".		
Challenges/Earthquake_AdvisorMessage	Earthquake Warning: There are reports of seismic activity in the area.		
Challenges/Earthquake_Description			
Challenges/Earthquake_ElectricalStorm_AdvisorMessage	Disaster Warning: There are reports of electrical storms in the area.		
Challenges/Earthquake_ElectricalStorm_Name	Electrical Storm		
Challenges/Earthquake_ElectricalStorm_NotificationMessage	Warning, electrical storms have been detected in the area! This could damage our machinery.		
Challenges/Earthquake_Large_AdvisorMessage	Earthquake Warning: There are reports of enormous seismic activity in the area. *gulp*		
Challenges/Earthquake_Large_Name	Large Earthquake		
Challenges/Earthquake_Name	Earthquake		
Challenges/Earthquake_NotificationMessage	Warning, seismic activity has been detected in the area! This could damage our machinery.		
Challenges/Earthquake_NotificationTitle	* Warning! *		
Challenges/Earthquake_Small_AdvisorMessage	Earthquake Warning: There are reports of low-level seismic activity in the area.		
Challenges/Earthquake_Small_Name	Small Earthquake		
Challenges/Earthquake_Volcanic_Name	Volcanic Eruption		
Challenges/Earthquake_Volcano_AdvisorMessage	Disaster Warning: There are reports of volcanic activity in the area.		
Challenges/Earthquake_Volcano_NotificationMessage	Warning, volcanic activity has been detected in the area! This could damage our machinery.		
Challenges/Epidemic_AbandonMessage	The TPCDC have been called in to deal with the Epidemic.\nAll infected people have been vaccinated and your Hospital is now free of infection. For now!		
Challenges/Epidemic_AbandonTitle	Call the TPCDC!		
Challenges/Epidemic_AdvisorInfectedLeftHospital	Epidemic Warning: An infected person was detected leaving the hospital. 		
Challenges/Epidemic_AdvisorMessage	Epidemic Warning: There's been an outbreak of a highly contagious disease in the hospital.		
Challenges/Epidemic_Dance_Name	Epidemic: Jitter Bug		
Challenges/Epidemic_Dance_NotificationMessage	Jitter Bug, a contagious disease, has been detected in the hospital. The Two Point Centre for Disease Control (TPCDC) will reward us if they don’t have to get involved.\n\nWe’ve been issued a limited supply of vaccines, so it’s up to us to vaccinate people displaying the telltale signs of the disease before it spreads. If we run out of vaccines, or too many infected people escape, the TPCDC will step in and handle the epidemic.\n\nJitter Bug is characterised by carefree and unjustifiable dancing. The disease spreads through a powerful (and rhythmic) sneeze.		
Challenges/Epidemic_Description			
Challenges/Epidemic_Goal_CS	{[INFECTED]} Infected People Detected, {[VACCINES]} Vaccines Available		
Challenges/Epidemic_HowTo_Tooltip	To enter vaccination mode, click on this vaccine button, or vaccinate an individual by selecting them and clicking the vaccine button on their info screen.\nExit vaccination mode by clicking the right mouse button.		
Challenges/Epidemic_Mummy_Name	Epidemic: Abominable Curse		
Challenges/Epidemic_Name	Epidemic		
Challenges/Epidemic_NotificationMessage	Abominable Curse, a contagious disease, has been detected in the hospital. The Two Point Centre for Disease Control (TPCDC) will reward us if they don’t have to get involved.\n\nWe’ve been issued a limited supply of vaccines, so it’s up to us to vaccinate people displaying the telltale signs of the disease before it spreads. If we run out of vaccines, or too many infected people escape, the TPCDC will step in and handle the epidemic.\n\nAbominable Curse is characterised by a peculiar walk, reminiscent of patients suffering from Premature Mummification. The disease spreads through a powerful (and ancient) sneeze.		
Challenges/Epidemic_NotificationTitle	Epidemic Warning!		
Challenges/Epidemic_RewardCuredBonusPerPerson_CS	Successful Vaccinations Bonus: {[BONUS]} per person		
Challenges/Epidemic_RewardCuredBonus_CS	Successful Vaccinations Bonus: {[BONUS]}		
Challenges/Epidemic_RewardFailNotEnoughVaccinesMessage	We don't have enough vaccines left to eradicate the contagious disease. The TPCDC have had to step in to resolve the matter.		
Challenges/Epidemic_RewardFailNotEnoughVaccinesTitle	Epidemic Fail!		
Challenges/Epidemic_RewardFailTooManyLeftHospitalMessage	Too many people with the contagious disease have left the hospital, spreading it to the outside world. The TPCDC have had to step in to resolve the matter.		
Challenges/Epidemic_RewardFailTooManyLeftHospitalTitle	Epidemic Fail!		
Challenges/Epidemic_RewardSuccessMessage	Well done! We successfully eradicated the contagious disease. The TPCDC will reward us for our outstanding efforts!		
Challenges/Epidemic_RewardSuccessTitle	Contagious Disease Eradicated!		
Challenges/Epidemic_RewardVaccinesBonus_CS	Vaccines Remaining Bonus: {[BONUS]} per vaccine		
Challenges/Epidemic_RewardVaccinesLeftBonus_CS	Vaccines Remaining Bonus: {[BONUS]}		
Challenges/Epidemic_Score_CS	Infected People Vaccinated: {[CURED]}\nInfected People Remaining: {[INFECTED]}\nVaccines Remaining: {[VACCINES]}		
Challenges/Epidemic_Sleep_Name	Epidemic: Nodoff		
Challenges/Epidemic_Sleep_NotificationMessage	Nodoff, a contagious disease, has been detected in the hospital. The Two Point Centre for Disease Control (TPCDC) will reward us if they don’t have to get involved.\n\nWe’ve been issued a limited supply of vaccines, so it’s up to us to vaccinate people displaying the telltale signs of the disease before it spreads. If we run out of vaccines, or too many infected people escape, the TPCDC will step in and handle the epidemic.\n\nNodoff is characterised by sudden sleep in inappropriate settings. The disease spreads through a powerful (and drowsy) sneeze.		
Challenges/Epidemic_Sporty_Name	Epidemic: Jogger's Ripple		
Challenges/Epidemic_Sporty_NotificationMessage	The Jogger’s Ripple Effect, a contagious disease, has been detected in the hospital. The Two Point Centre for Disease Control (TPCDC) will reward us if they don’t have to get involved.\n\nWe’ve been issued a limited supply of vaccines, so it’s up to us to vaccinate people displaying the telltale signs of the disease before it spreads. If we run out of vaccines, or too many infected people escape, the TPCDC will step in and handle the epidemic.\n\nJogger’s Ripple is characterised by involuntary bouts of stretching, cardiovascular exercise and general health-conscious-ness. The disease spreads through a powerful (and athletic) sneeze.		
Challenges/Epidemic_Toilet_Name	Epidemic: Bum Rush		
Challenges/Epidemic_Toilet_NotificationMessage	Bum Rush a contagious disease, has been detected in the hospital. The Two Point Centre for Disease Control (TPCDC) will reward us if they don’t have to get involved.\n\nWe’ve been issued a limited supply of vaccines, so it’s up to us to vaccinate people displaying the telltale signs of the disease before it spreads. If we run out of vaccines, or too many infected people escape, the TPCDC will step in and handle the epidemic.\n\nBum Rush is characterised by abrupt and unplanned trips to the toilet. The disease spreads through a powerful (and clenched) sneeze.		
Challenges/Epidemic_Tooltip	Epidemic: Contain and Control\n\nWatch and listen for infected staff and patients. You have a limited number of vaccines to help curtail the spread of the infection. Do not waste them - if you do not have enough to cure all the infected, you will have failed to control it. \nIf too many infected escape to the nearby town, you will have failed to contain it.\nTo abandon all efforts and admit defeat, call in the TPCDC by clicking on the X		
Challenges/Epidemic_Vomit_Name	Epidemic: Projectile Dysfunction		
Challenges/Epidemic_Vomit_NotificationMessage	Projectile Dysfunction, a contagious disease, has been detected in the hospital. The Two Point Centre for Disease Control (TPCDC) will reward us if they don’t have to get involved.\n\nWe’ve been issued a limited supply of vaccines, so it’s up to us to vaccinate people displaying the telltale signs of the disease before it spreads. If we run out of vaccines, or too many infected people escape, the TPCDC will step in and handle the epidemic.\n\nProjectile Dysfunction is characterised by lots and lots of vomiting. The disease spreads through a powerful (and acidic) sneeze.		
Challenges/FrogRain_AdvisorMessage	Anomaly Warning: There are reports of frogs falling from the sky.		
Challenges/FrogRain_Name	Frog Storm		
Challenges/FrogRain_NotificationMessage	Warning, frog storms have been detected in the area!		
Challenges/Ghosts_AdvisorMessage	A Gaggle of Ghouls have appeared in the Hospital		
Challenges/Horde_Description	Each wave begins with a number of patients arriving. We'll need to cure a certain % of those patients in order to progress to the next wave.\n\nIf we cure {[CURE_STREAK]} patients in a row, our income will be increased by {[INCOME_MULTIPLIER]} for as long as we maintain the streak.		
Challenges/Horde_ObjectiveMenuCountdown_CS	Next Wave in {[DAYS]} Days[i2p_One]Next Wave in {[DAYS]} Day		
Challenges/Horde_ObjectiveMenuProgress_CS	Cure Rate: {[CURED]}/{[PROCESSED]} ({[PERCENT]})\nTarget Cure Rate: {[TARGET]}\nPatients Remaining: {[REMAIN]}\nCured in a Row: {[STREAK]}		
Challenges/Horde_ObjectiveMenuWave_CS	Wave {[WAVE]}		
Challenges/Horde_Title	Horde Challenge		
Challenges/InArriving_CS	Arriving...		
Challenges/InProgress_CS	In Progress: {0}		
Challenges/Metagame_Objective_AllStars_InjuriesHospital_Description	Get 3 Stars in Injuries Hospital		
Challenges/Metagame_Objective_AllStars_InjuriesHospital_Name	Get 3 Stars in Injuries Hospital		
Challenges/Metagame_Objective_AllStars_ResearchHospital_Description	Get 3 Stars in Research Hospital		
Challenges/Metagame_Objective_AllStars_ResearchHospital_Name	Get 3 Stars in Research Hospital		
Challenges/Metagame_Objective_AllStars_WealthyHospital_Description	Get 3 Stars in Wealthy Hospital		
Challenges/Metagame_Objective_AllStars_WealthyHospital_Name	Get 3 Stars in Wealthy Hospital		
Challenges/Metagame_Objective_CurePatients_Clown_Description	Cure 1,000 Clowns		
Challenges/Metagame_Objective_CurePatients_Clown_Name	Cure 1,000 Clowns		
Challenges/Metagame_Objective_CurePatients_Cubism_Description	Cure 1,000 Cubism Patients		
Challenges/Metagame_Objective_CurePatients_Cubism_Name	Cure 1,000 Cubism Patients		
Challenges/Metagame_Objective_CurePatients_Description	Cure 10,000 Patients		
Challenges/Metagame_Objective_CurePatients_Mummy_Description	Cure 1,000 Mummies		
Challenges/Metagame_Objective_CurePatients_Mummy_Name	Cure 1,000 Mummies		
Challenges/Metagame_Objective_CurePatients_Name	Cure 10,000 Patients		
Challenges/Metagame_Objective_EarnMoney_1_Description	Earn $1,000,000		
Challenges/Metagame_Objective_EarnMoney_1_Name	Earn $1,000,000		
Challenges/Metagame_Objective_EarnMoney_2_Description	Earn $10,000,000		
Challenges/Metagame_Objective_EarnMoney_2_Name	Earn $10,000,000		
Challenges/Metagame_Objective_EarnMoney_3_Description	Earn $100,000,000		
Challenges/Metagame_Objective_EarnMoney_3_Name	Earn $100,000,000		
Challenges/Metagame_Objective_EarnSilver_1_Description	Earn 1,000 Silver		
Challenges/Metagame_Objective_EarnSilver_1_Name	Earn 1,000 Silver		
Challenges/Metagame_Objective_EarnSilver_2_Description	Earn 5,000 Silver		
Challenges/Metagame_Objective_EarnSilver_2_Name	Earn 5,000 Silver		
Challenges/Metagame_Objective_EarnSilver_3_Description	Earn 20,000 Silver		
Challenges/Metagame_Objective_EarnSilver_3_Name	Earn 20,000 Silver		
Challenges/Metagame_Objective_EarnStars_1_Description	Earn 10 Stars		
Challenges/Metagame_Objective_EarnStars_1_Name	Earn 10 Stars		
Challenges/Metagame_Objective_EarnStars_2_Description	Earn 20 Stars		
Challenges/Metagame_Objective_EarnStars_2_Name	Earn 20 Stars		
Challenges/Metagame_Objective_EarnStars_3_Description	Earn 30 Stars		
Challenges/Metagame_Objective_EarnStars_3_Name	Earn 30 Stars		
Challenges/Metagame_Objective_MaintenanceJob_Ghosts_Description	Capture 100 Ghosts		
Challenges/Metagame_Objective_MaintenanceJob_Ghosts_Name	Capture 100 Ghosts		
Challenges/Metagame_Objective_MaintenanceJob_Machines_Description	Fix 100 Broken Machines		
Challenges/Metagame_Objective_MaintenanceJob_Machines_Name	Fix 100 Broken Machines		
Challenges/Metagame_Objective_MaintenanceJob_Plants_Description	Water 100 Plants		
Challenges/Metagame_Objective_MaintenanceJob_Plants_Name	Water 100 Plants		
Challenges/Metagame_Objective_MaintenanceJob_Toilets_Description	Unblock 100 Toilets		
Challenges/Metagame_Objective_MaintenanceJob_Toilets_Name	Unblock 100 Toilets		
Challenges/Metagame_Objective_MaintenanceJob_VendingMachines_Description	Restock 100 Vending Machines		
Challenges/Metagame_Objective_MaintenanceJob_VendingMachines_Name	Restock 100 Vending Machines		
Challenges/Metagame_Objective_OrganisationValue_1_Description	Get Foundation Value to $1,000,000		
Challenges/Metagame_Objective_OrganisationValue_1_Name	Get Foundation Value to $1,000,000		
Challenges/Metagame_Objective_OrganisationValue_2_Description	Get Foundation Value to $5,000,000		
Challenges/Metagame_Objective_OrganisationValue_2_Name	Get Foundation Value to $5,000,000		
Challenges/Metagame_Objective_OrganisationValue_3_Description	Get Foundation Value to $20,000,000		
Challenges/Metagame_Objective_OrganisationValue_3_Name	Get Foundation Value to $20,000,000		
Challenges/Metagame_Objective_PromoteStaff_Assistants_Description	Promote 100 Assistants		
Challenges/Metagame_Objective_PromoteStaff_Assistants_Name	Promote 100 Assistants		
Challenges/Metagame_Objective_PromoteStaff_Description	Promote 500 Staff		
Challenges/Metagame_Objective_PromoteStaff_Doctors_Description	Promote 100 Doctors		
Challenges/Metagame_Objective_PromoteStaff_Doctors_Name	Promote 100 Doctors		
Challenges/Metagame_Objective_PromoteStaff_Janitors_Description	Promote 100 Janitors		
Challenges/Metagame_Objective_PromoteStaff_Janitors_Name	Promote 100 Janitors		
Challenges/Metagame_Objective_PromoteStaff_Name	Promote 500 Staff		
Challenges/Metagame_Objective_PromoteStaff_Nurses_Description	Promote 100 Nurses		
Challenges/Metagame_Objective_PromoteStaff_Nurses_Name	Promote 100 Nurses		
Challenges/Metagame_Objective_TrainStaff_Description	Train 20 Staff		
Challenges/Metagame_Objective_TrainStaff_Diagnosis_Description	Train a Diagnosis Specialist		
Challenges/Metagame_Objective_TrainStaff_Diagnosis_Name	Train a Diagnosis Specialist		
Challenges/Metagame_Objective_TrainStaff_Name	Train 20 Staff		
Challenges/Metagame_Objective_TrainStaff_Psychiatry_Description	Train a Psychiatry Specialist		
Challenges/Metagame_Objective_TrainStaff_Psychiatry_Name	Train a Psychiatry Specialist		
Challenges/Metagame_Objective_TrainStaff_Research_Description	Train a Research Specialist		
Challenges/Metagame_Objective_TrainStaff_Research_Name	Train a Research Specialist		
Challenges/Monobeast_HowTo_Tooltip	Watch out for monobeasts scurrying around the Hospital, use your mouse pointer to target and shoot them.\nLook out for them hiding in dark places and under objects.		
Challenges/Objective_ALL_LevelObjective1_Description	Complete These Challenges to Gain your First STAR		
Challenges/Objective_ALL_LevelObjective1_Name	EverythingVille 1 STAR Challenges		
Challenges/Objective_ALL_LevelObjective2_Description	Do these Objectives to get your second star		
Challenges/Objective_ALL_LevelObjective2_Name	2 Star Ojectives		
Challenges/Objective_ALL_LevelScript_Description			
Challenges/Objective_ALL_LevelScript_Name			
Challenges/Objective_DemoHospital1_GoldStar_1_Description			
Challenges/Objective_DemoHospital1_GoldStar_1_Name	Demo Challenge 1		
Challenges/Objective_DemoHospital1_GoldStar_2_Description			
Challenges/Objective_DemoHospital1_GoldStar_2_Name	Demo Challenge 2		
Challenges/Objective_DemoHospital1_GoldStar_3_Description			
Challenges/Objective_DemoHospital1_GoldStar_3_Name	Demo Challenge 3		
Challenges/Objective_DemoHospital_Persistent_CureCubismPatients_Description			
Challenges/Objective_DemoHospital_Persistent_CureCubismPatients_Name			
Challenges/Objective_DemoHospital_Persistent_CurePatients_Description			
Challenges/Objective_DemoHospital_Persistent_CurePatients_Name			
Challenges/Objective_DemoHospital_Persistent_TotalIncome_Description			
Challenges/Objective_DemoHospital_Persistent_TotalIncome_Name			
Challenges/Objective_HTL_LevelObjective1_Description			
Challenges/Objective_HTL_LevelObjective1_Name	Hospital Challenge 1		
Challenges/Objective_HTL_LevelObjective2_Description			
Challenges/Objective_HTL_LevelObjective2_Name	Hospital Challenge 1		
Challenges/Objective_HTL_LevelObjective3_Description			
Challenges/Objective_HTL_LevelObjective3_Name	Hospital Challenge 1		
Challenges/Objective_HospitalStarRating1_Description	The Two Point Health Ministry will award the hospital a 1 Star rating if we can achieve these targets.		
Challenges/Objective_HospitalStarRating1_Name	1 Star Hospital		
Challenges/Objective_HospitalStarRating2_Description	The Two Point Health Ministry will award the hospital a 2 Star rating if we can achieve these targets.		
Challenges/Objective_HospitalStarRating2_Name	2 Star Hospital		
Challenges/Objective_HospitalStarRating3_Description	The Two Point Health Ministry will award the hospital a 3 Star rating if we can achieve these targets.		
Challenges/Objective_HospitalStarRating3_Name	3 Star Hospital		
Challenges/Objective_HotSeat_Player1_Description			
Challenges/Objective_HotSeat_Player1_Name			
Challenges/Objective_HotSeat_Player2_Description			
Challenges/Objective_HotSeat_Player2_Name			
Challenges/Objective_HotSeat_Player3_Description			
Challenges/Objective_HotSeat_Player3_Name			
Challenges/Objective_LevelScript_DemoHospital1_Description			
Challenges/Objective_LevelScript_DemoHospital1_Name			
Challenges/Objective_LevelScript_HotSeatLevel_Description			
Challenges/Objective_LevelScript_HotSeatLevel_Name			
Challenges/Objective_LevelScript_Sandbox_Description			
Challenges/Objective_LevelScript_Sandbox_Name			
Challenges/Objective_LevelScript_TeachingHospital_Description			
Challenges/Objective_LevelScript_TeachingHospital_Name			
Challenges/Objective_NewDemo_BuildCubism_Description			
Challenges/Objective_NewDemo_BuildCubism_Name	Cure 3 Patients (hidden)		
Challenges/Objective_NewDemo_Cure10Patients_Description			
Challenges/Objective_NewDemo_Cure10Patients_Name	Cure Patients		
Challenges/Objective_NewDemo_Cure1Patient_Description			
Challenges/Objective_NewDemo_Cure1Patient_Name	Cure a Patient		
Challenges/Objective_NewDemo_Cure2Patients_Description			
Challenges/Objective_NewDemo_Cure2Patients_Name	Cure Patients		
Challenges/Objective_NewDemo_Cure3Patients_Description			
Challenges/Objective_NewDemo_Cure3Patients_Name	Cure Patients		
Challenges/Objective_NewDemo_Cure5Patients_Description			
Challenges/Objective_NewDemo_Cure5Patients_Name	Cure Patients		
Challenges/Objective_NewDemo_Diagnose1Patient_Description			
Challenges/Objective_NewDemo_Diagnose1Patient_Name	Diagnose a Patient		
Challenges/Objective_NewDemo_LevelObjective1_Description			
Challenges/Objective_NewDemo_LevelObjective1_Name	Hospital Challenge 1		
Challenges/Objective_NewDemo_LevelObjective2_Description			
Challenges/Objective_NewDemo_LevelObjective2_Name	Hospital Challenge 2		
Challenges/Objective_NewDemo_LevelObjective3_Description			
Challenges/Objective_NewDemo_LevelObjective3_Name	Hospital Challenge 3		
Challenges/Objective_NewDemo_LevelScript_Freeplay_Description			
Challenges/Objective_NewDemo_LevelScript_Freeplay_Name			
Challenges/Objective_NewDemo_LevelScript_Tutorial_Description			
Challenges/Objective_NewDemo_LevelScript_Tutorial_Name			
Challenges/Objective_NewDemo_OnlineEarnMoney_Description	Compete to earn the most money within a 120 day period.		
Challenges/Objective_NewDemo_OnlineEarnMoney_Name	Cash Grab Challenge		
Challenges/Objective_NewDemo_TimedEarnMoney_Description			
Challenges/Objective_NewDemo_TimedEarnMoney_Name	Online Earn Money		
Challenges/Objective_NewDemo_Tutorial_BuildLightHeadedRoom_Description			
Challenges/Objective_NewDemo_Tutorial_BuildLightHeadedRoom_Name	Build Light Headed Clinic (hidden)		
Challenges/Objective_NewDemo_Tutorial_Janitors_Description			
Challenges/Objective_NewDemo_Tutorial_Janitors_Name	Charlie Work		
Challenges/Objective_NewDemo_Tutorial_KeepingPeopleHappy_Description			
Challenges/Objective_NewDemo_Tutorial_KeepingPeopleHappy_Name	Keeping People Happy		
Challenges/Objective_NewDemo_Tutorial_MoreRoomsAndStaff_Description			
Challenges/Objective_NewDemo_Tutorial_MoreRoomsAndStaff_Name	Increasing Demand		
Challenges/Objective_NewDemo_Tutorial_PlaceReceptionDesk_Description	Build a Reception Desk		
Challenges/Objective_NewDemo_Tutorial_PlaceReceptionDesk_Name	Reception Desk		
Challenges/Objective_NewDemo_Tutorial_UnlockLightHeadedRoom_Description			
Challenges/Objective_NewDemo_Tutorial_UnlockLightHeadedRoom_Name	Unlock Treatment Room		
Challenges/Objective_NewDemo_Tutorial_UnlockWard_Description			
Challenges/Objective_NewDemo_Tutorial_UnlockWard_Name	Unlock Ward		
Challenges/Objective_Online_Attractiveness_Description	Compete with rival organisations to have the most attractive hospital.		
Challenges/Objective_Online_Attractiveness_Name	Hospital Attractiveness Challenge		
Challenges/Objective_Online_CurePatients_Description	Compete against other organisations to cure the most patients.		
Challenges/Objective_Online_CurePatients_Fractures_Description	Compete against other organisations to cure the most patients in a Fracture Ward.		
Challenges/Objective_Online_CurePatients_Fractures_Name	Fracture Ward Challenge		
Challenges/Objective_Online_CurePatients_Name	Cures Challenge		
Challenges/Objective_Online_CurePatients_Surgery_Description	Compete against other organisations to cure the most patients in Surgery.		
Challenges/Objective_Online_CurePatients_Surgery_Name	Surgery Challenge		
Challenges/Objective_Online_CureRate_Description	Compete against other organisations to get the highest cure rate.		
Challenges/Objective_Online_CureRate_Name	Cure Rate Challenge		
Challenges/Objective_Online_Cure_Cubism_Description			
Challenges/Objective_Online_Cure_Cubism_Name	Cure Cubism Patients		
Challenges/Objective_Online_Cure_Patients_6Months_Description			
Challenges/Objective_Online_Cure_Patients_6Months_Name	Cure Patients (Online)		
Challenges/Objective_Online_Cure_Patients_Description			
Challenges/Objective_Online_Cure_Patients_Name	Cure Patients (Online)		
Challenges/Objective_Online_Cure_Portishead_Description			
Challenges/Objective_Online_Cure_Portishead_Name	Cure Portishead Patients (Online)		
Challenges/Objective_Online_DiagnosePatients_Description	Compete against other organisations to diagnose the most patients.		
Challenges/Objective_Online_DiagnosePatients_Name	Diagnosis Challenge		
Challenges/Objective_Online_EarnMoney_Description	Compete against other organisations to earn the most money.		
Challenges/Objective_Online_EarnMoney_Name	Income Challenge		
Challenges/Objective_Online_Earn_Money_Description			
Challenges/Objective_Online_Earn_Money_Name	Earn Money (Online)		
Challenges/Objective_Online_GhostCapture_Description	Compete against other organisations to capture the most ghosts.		
Challenges/Objective_Online_GhostCapture_Name	Ghost Capture Challenge		
Challenges/Objective_Online_HireStaff_Description	Compete with rival organisations to have the most Staff.		
Challenges/Objective_Online_HireStaff_Name	Hire Challenge		
Challenges/Objective_Online_HospitalValue_Description	Compete against other organisations to win the most valuable hospital award.		
Challenges/Objective_Online_HospitalValue_Name	Value Challenge		
Challenges/Objective_Online_LastDeath_Description	Compete with rival organisations to go the longest time without a losing a patient.		
Challenges/Objective_Online_LastDeath_Name	Days Since Last Death Challenge		
Challenges/Objective_Online_Monobeasts_Description	Compete with rival organisations to shoot the most monobeasts.		
Challenges/Objective_Online_Monobeasts_Name	Monobeast Challenge		
Challenges/Objective_Online_Prestige_Description	Compete with rival organisations to have the most prestigeous hospital.		
Challenges/Objective_Online_Prestige_Name	Prestige Challenge		
Challenges/Objective_Online_PromoteStaff_Description	Compete against other organisations to promote the most staff.		
Challenges/Objective_Online_PromoteStaff_Name	Promotion Challenge		
Challenges/Objective_Online_ReachBalance_Description	Compete with Rival Organisations to accumulate the largest balance.		
Challenges/Objective_Online_ReachBalance_Name	Balance Challenge		
Challenges/Objective_Online_Reputation_Description	Compete against other organisations to win the award for highest reputation.		
Challenges/Objective_Online_Reputation_Name	Reputation Challenge		
Challenges/Objective_Online_Research_Description	Compete with rival organisations to do the most research.		
Challenges/Objective_Online_Research_Name	Research Challenge		
Challenges/Objective_Online_TrainStaff_Description	Compete against other organisations to train the most staff.		
Challenges/Objective_Online_TrainStaff_Name	Training Challenge		
Challenges/Objective_Online_Upgrade_Description	Compete against other organisations to upgrade the most machines.		
Challenges/Objective_Online_Upgrade_Name	Upgrades Challenge		
Challenges/Objective_Online_Vaccinate_Description	Compete against other organisations to vaccinate the most people infected by contagious diseases.		
Challenges/Objective_Online_Vaccinate_Name	Vaccinate Challenge		
Challenges/Objective_Optional_Cure_Medium_90Days_Description	Cure patients in 90 days.		
Challenges/Objective_Optional_Cure_Medium_90Days_Name	Cures Challenge		
Challenges/Objective_Optional_Earn_Medium_90Days_Description	Earn enough money in 90 days.		
Challenges/Objective_Optional_Earn_Medium_90Days_Name	Income Challenge		
Challenges/Objective_Optional_Train_Medium_90Days_Description			
Challenges/Objective_Optional_Train_Medium_90Days_Name	Training Challenge		
Challenges/Objective_R1_IntroHospital2_LevelObjective1_Description	Some patients will have diseases that GP's can't diagnose. Build a General Diagno		
Challenges/Objective_R1_IntroHospital2_LevelObjective1_Name	Special Illnesses		
Challenges/Objective_R1_IntroHospital2_LevelObjective2_Description			
Challenges/Objective_R1_IntroHospital2_LevelObjective2_Name	Major Queen Facility		
Challenges/Objective_R1_IntroHospital2_LevelObjective3_Description			
Challenges/Objective_R1_IntroHospital2_LevelObjective3_Name	Queen Expert		
Challenges/Objective_R1_IntroHospital2_UnlockPandemicClinic_Name	Unlock Pans Lab		
Challenges/Objective_R1_IntroHospital2_UnlockTechnology_Description	Bungle Technologies will give us access to some of their tech if we work with them.		
Challenges/Objective_R1_IntroHospital2_UnlockTechnology_Name	New Technology		
Challenges/Objective_R1_IntroHospital3_LevelObjective1_Description			
Challenges/Objective_R1_IntroHospital3_LevelObjective1_Name	Training Staff		
Challenges/Objective_R1_IntroHospital3_LevelObjective2_Description			
Challenges/Objective_R1_IntroHospital3_LevelObjective2_Name	Hospital Challenge 2		
Challenges/Objective_R1_IntroHospital3_LevelObjective3_Description			
Challenges/Objective_R1_IntroHospital3_LevelObjective3_Name	Challenge 3		
Challenges/Objective_R1_IntroHospital3_UnlockClownClinic_Name	Unlock Clown Clinic		
Challenges/Objective_R1_IntroHospital3_UnlockTraining_Description	The Two Point Health Ministry will grant us a training licence if we can demonstrate our commitment to staff wellbeing.		
Challenges/Objective_R1_IntroHospital3_UnlockTraining_Name	Training Licence		
Challenges/Objective_R1_TutorialHospital_BuildLightheaded_Description			
Challenges/Objective_R1_TutorialHospital_BuildLightheaded_Name	Cure 3 Patients (hidden)		
Challenges/Objective_R1_TutorialHospital_CameraMove_Description	Take a look around the building.		
Challenges/Objective_R1_TutorialHospital_CameraMove_Name	Look Around		
Challenges/Objective_R1_TutorialHospital_Cure10Patients_Description			
Challenges/Objective_R1_TutorialHospital_Cure10Patients_Name	Cure Patients		
Challenges/Objective_R1_TutorialHospital_Cure1Patients_Description			
Challenges/Objective_R1_TutorialHospital_Cure1Patients_Name	Cure a Patient		
Challenges/Objective_R1_TutorialHospital_Cure2Patients_Description			
Challenges/Objective_R1_TutorialHospital_Cure2Patients_Name	Cure Patients		
Challenges/Objective_R1_TutorialHospital_Cure3Patients_Description			
Challenges/Objective_R1_TutorialHospital_Cure3Patients_Name	Cure Patients		
Challenges/Objective_R1_TutorialHospital_Cure5Patients_Description			
