ARIAL SDF	Fonts & Materials/ARIAL SDF
Challenges/VIP_Minister_R3_V3_Intro_Message	Tarquin Foxbridge 보건부 장관은 우리의 진행 상황을 확인하기 위해 들르겠다고 말했습니다. 그는 우리에게 행운이 있기를 바라며-내가 자기 자신이라고 생각하는-웃음의 오디오 파일을 첨부했습니다.\n그가 병원에 감명을 받았다면 카운티의 의료 예산 중 일부를 받고 열려있을 수 있습니다.
Challenges/VIP_Minister_R5_V1_Intro_Message	Tarquin Foxbridge 보건부 장관은 곧 병원을 방문할 것이라고 알려주었습니다. 그는 "공짜 히피 찌꺼기"와는 달리 돈을 벌어야한다고 덧붙였습니다.\n그가 병원에 감명을 받았다면 카운티의 의료 예산 중 일부를 보상으로받을 수도 있습니다.
Challenges/VIP_Minister_R5_V2_Intro_Message	Tarquin Foxbridge 보건부 장관은 우리의 진행 상황을 확인하기 위해 방문할 것이라고 말했습니다. 그는 우리가 그에게 자신의 주장을 증명할 수 있기를 바라며 상당한 보상을 암시한다고 말합니다.\n그가 병원에 감명을 받았다면 카운티의 의료 예산 중 일부를 보상으로받을 수 있습니다.
Challenges/VIP_Minister_Reward_Message_1	Tarquin Foxbridge는 그가 병원을 방문한 후 손으로 쓴 편지를 보내 왔습니다.“나는 당신의 소위 병원 상태로 인해 기뻐서 기뻐했습니다. 이 표준을 유지하면 시설과 모든 직원이 정부 이니셔티브에 자금을 지원하기 위해 수집 및 재활용됩니다. Toodles.“
Challenges/VIP_Minister_Reward_Message_2	Tarquin Foxbridge는 병원을 방문한 후 손으로 쓴 메모를 보내 왔습니다.“당신의 시설이 놀랍게도 수준 이하라는 사실을 알게된 것은 놀라운 일이 아닙니다. 더 잘 수행하지 않으면 대체될 것입니다.
Challenges/VIP_Minister_Reward_Message_3	Tarquin Foxbridge는 병원을 방문한 후 손으로 쓴 메모를 보내 왔습니다.“당신이 적절한 기준에 따라 공연을 하고 있다는 사실이 유감입니다. 나의 직업적 성실함은 당신이 모든면에서 발전할 것을 간청합니다. 그러나 내 개인적인 소망은 가능한 한 재미있는 패션에 충돌하고 태워달라고 부탁합니다. 간단히 말해서 더 재미있게 지내십시오.”
Challenges/VIP_Minister_Reward_Message_4	Tarquin Foxbridge는 병원을 방문한 후 손으로 쓴 메모를 보내 왔습니다.“실제로 잘하고 있다는 사실에 놀랐습니다. 나는 당신이 그것을 어떻게 관리했는지는 모르지만 계속 유지하십시오.”
Challenges/VIP_Minister_Reward_Message_5	Tarquin Foxbridge는 병원을 방문한 후 손으로 쓴 메모를 보내 왔습니다.“이상적인 의료를위한 117 단계 계획을 성공적으로 실행 해 주셔서 기쁩니다. 정말 훌륭한 계획이었습니다.”
Challenges/VIP_Minister_V1_Intro_Message	Tarquin Foxbridge 보건부 장관은 곧 병원을 방문할 것이라고 말했습니다. 그는 우리가 얼마나 많은 돈을 벌고 있는지보고 그에 따라 우리를 판단하기를 기대합니다.\n그가 병원에 감명을 받았다면 카운티의 의료 예산 중 일부를 보상으로받을 수 있습니다.
Challenges/VIP_Minister_V2_Intro_Message	Tarquin Foxbridge 보건부 장관은 곧 병원을 방문할 것이라고 알려주었습니다. 그는 또한 환자의 안락함과 웰빙에 귀중한 이익을 낭비하는 것은 친절하게 보지 않을 것임을 상기시킵니다.\n그가 병원에 감명을 받았다면 카운티의 의료 예산 중 일부를 보상으로받을 수 있습니다.
Challenges/VIP_Minister_V3_Intro_Message	Tarquin Foxbridge 보건부 장관은 곧 병원을 방문할 것이라고 알려주었습니다. 그는 직장에서 새롭고 최첨단의 돈 버는 기술을보기를 희망한다고 말합니다.\n그가 병원에 감명을 받았다면 카운티의 의료 예산 중 일부를 보상으로받을 수 있습니다.
Challenges/VIP_Minister_V4_Intro_Message	Tarquin Foxbridge 보건부 장관은 곧 병원을 방문할 것이라고 알려주었습니다. 그는 자신이 두 발로 자립할 수 있는 병원을 기대한다고 덧붙였습니다.\n그가 병원에 감명을 받았다면 카운티의 의료 예산 중 일부를 보상으로받을 수 있습니다.
Challenges/VIP_Minister_V5_Intro_Message	Tarquin Foxbridge 보건부 장관은 곧 병원을 방문할 것이라고 알려주었습니다. 그는 우리가 먼저 사업을 하고 병원이 두 번째라는 사실을 기억하기를 바랍니다.\n그가 병원에 감명을 받았다면 카운티의 의료 예산 일부를 보상으로받을 수 있습니다.
Challenges/VIP_Politician_HealthMinister_Arrival_Advisor	Tarquin Foxbridge 보건부 장관이 병원에 도착했습니다.
Challenges/VIP_Politician_HealthMinister_IntroMessage	Tarquin Foxbridge 보건부 장관이 병원을 방문하고자합니다. 우리는 아마도 준수해야 합니다.
Challenges/VIP_Politician_HealthMinister_Intro_Title	보건 장관 방문
Challenges/VIP_Politician_HealthMinister_Name	Tarquin Foxbridge 보건부 장관
Challenges/VIP_Radio_Reporter_Arrival_Advisor	투 포인트 라디오 기자 샐리 피그 블랑 켓이 병원에 도착했습니다.
Challenges/VIP_Radio_Reporter_Intro_Message	투 포인트 라디오 기자 Sally Figblanket은 병원 방문에 관심이 있습니다. 우리는 무엇을 말할까요?
Challenges/VIP_Radio_Reporter_Intro_Title	기자 방문
Challenges/VIP_Radio_Reporter_Name	샐리 피그 블랭킷 기자
Challenges/VIP_Radio_Reporter_R1_V1_Intro_Message	투 포인트 라디오 기자 샐리 피그 블랑 켓이 메리 둥 농장에서 나는 신비한 냄새를 조사하고있다. 그녀는 병원에 대한 이야기를 하기 위해 들를 수 있는지 물었습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_R1_V2_Intro_Message	Two Point Radio의 기자 Sally Figblanket은 One Eyed Wallace에서 나오는 고음의 울부 짖는 소리를 조사했습니다. 그녀는 병원에 대한 이야기를 하기 위해 들를 수 있는지 물었습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_R1_V3_Intro_Message	Two Point Radio의 기자 Sally Figblanket은 Cirque du Parfait에서 크림 파이 중독 주장을 조사했습니다. 그녀는 병원에 대한 이야기를 하기 위해 들를 수 있는지 물었습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_R2_V1_Intro_Message	Two Point Radio의 기자 Sally Figblanket은 노래하는 설인의 보도를 조사했습니다. 그녀는 병원에 대한 이야기를 하기 위해 들를 수 있는지 물었습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_R2_V2_Intro_Message	Two Point Radio의 기자 인 Sally Figblanket은 미튼 대학교의 학생들이 가장 좋아하는 교수와 가장 선호하지 않는 교수를 대상으로 설문 조사를합니다. 그녀는 병원에 대한 이야기를 하기 위해 들를 수 있는지 물었습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_R2_V3_Intro_Message	Two Point Radio의 기자 인 Sally Figblanket은 Holistix가 감자를 포함하지 않고 감자 치료 능력도 전혀없는 0.1 % 감자 물을 판매하고 있다는보고를 조사했습니다. 그녀는 병원에 대한 이야기를 하기 위해 들를 수 있는지 물었습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_R3_V1_Intro_Message	Two Point Radio의 기자 인 Sally Figblanket은 거주자가 새로운 베이지 색을 발견했다고 주장하는 Duckworth-Upon-Bilge의 이야기를 취재했습니다. 그녀는 병원에 대한 이야기를 하기 위해 들를 수 있는지 물었습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_R3_V2_Intro_Message	Two Point Radio의 기자 Sally Figblanket은 Bungle 본사 주변의 형광 웅덩이에 대한보고를 조사했습니다. 그녀는 병원에 대한 이야기를 하기 위해 들를 수 있는지 물었습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_R3_V3_Intro_Message	Two Point Radio의 Sally Figblanket 기자는 스모글리의 마을 사람들이 폭풍우로 마을 회관을 잃었다는보고를 조사 중입니다. 그녀는 병원에 대한 이야기를 하기 위해 들를 수 있는지 물었습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_R4_V1_Intro_Message	Two Point Radio의 기자 인 Sally Figblanket은 Orb 재단의 본부에서 나오는 불길하고 악랄한 노래에 대한보고를 조사했습니다. 그녀는 병원에 대한 이야기를 하기 위해 들를 수 있는지 물었습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_R4_V2_Intro_Message	Two Point Radio의 기자 Sally Figblanket은 Sweaty Palms에서 만연한 비치 볼 도난 신고를 조사했습니다. 그녀는 병원에 대한 이야기를 하기 위해 들를 수 있는지 물었습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_R4_V3_Intro_Message	Two Point Radio의 기자 Sally Figblanket은 올해 Grockle Bay에서 열리는 연어 축제를 취재했습니다. 그녀는 병원에 대한 이야기를 하기 위해 들를 수 있는지 물었습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_R5_V1_Intro_Message	Two Point Radio 기자 샐리 피그 블랑 켓은 점보 본사에서 나오는 광적인 웃음에 대한 보도를 조사했습니다. 그녀는 병원에 대한 이야기를 하기 위해 들를 수 있는지 물었습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_R5_V2_Intro_Message	Two Point Radio의 기자 인 Sally Figblanket은 The Sloop에서하는 모든 스포츠를 다루는 영역에 있습니다. 그녀는 병원에 대한 이야기를 하기 위해 들를 수 있는지 물었습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_R5_V3_Intro_Message	Two Point Radio의 리포터 인 Sally Figblanket은 Pelican Wharf의 새로운 지하 부티크 염소 우유 매장 개장을 담당했습니다. 그녀는 병원에 대한 이야기를 하기 위해 들를 수 있는지 물었습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_Reward_Message_1	Sally Figblanket의 최신 카운티 모집이 방금 시작되었습니다. 그것은 "역겹지만 지루한"병원의 기능입니다. 오, 우리에 관한 것입니다. 안 좋은 일 이었어요.\n언론에서 부끄러워하지 않으려면 병원을 개선해야 합니다.
Challenges/VIP_Radio_Reporter_Reward_Message_2	Sally Figblanket의 최신 카운티 모집이 방금 시작되었습니다. 그녀는 우리 비용으로 농담을합니다. 그들은 무자비하게 잔인하지만 실제로는 꽤 웃깁니다. 하하… 어쨌든.\n코믹한 구호 이상의 것을 특징으로하고 싶다면 병원을 개선해야 합니다.
Challenges/VIP_Radio_Reporter_Reward_Message_3	Sally Figblanket의 최신 카운티 모집이 방금 시작되었습니다. 그녀는 병원이 있다는 것을 제외하고는 병원에 대해 많이 말하지 않습니다. 사람들이 우리를 언급할 때 긍정적 인 부분을 추가하기를 원한다면 병원을 개선해야 합니다.
Challenges/VIP_Radio_Reporter_Reward_Message_4	Sally Figblanket의 최신 카운티 모집이 방금 시작되었습니다. 뉴스가 느린 날 이었을지 모르지만 우리는 그것에 대해 아주 긍정적 인 언급을 얻었습니다!\n이건 병원에 대한 좋은 홍보이지만 더 나을 수 있을지 궁금합니다…
Challenges/VIP_Radio_Reporter_Reward_Message_5	Sally Figblanket의 최신 카운티 모집이 방금 시작되었습니다. 카운티의 의료 서비스를 미래로 이끌고 있는 병원의 기능입니다. 오, 우리에 관한 것입니다. 좋은 소식입니다!\n
Challenges/VIP_Radio_Reporter_V1_Intro_Message	오디오 및 파트 타임 비주얼 기자 인 Sally Figblanket은 대기에 대해 모으고있는 엑스포의 일환으로 병원을 방문할 수 있는지 물었습니다. 끔찍하게 들리지만 그녀가 여기있는 동안 감명을 받았다면 좋은 언론의 기회가될 수 있습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 수 있습니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_V2_Intro_Message	Two Point Radio의 상주 인 (그들이 기자이기 때문에 자주 존재하지 않는 사람) Sally Figblanket은 병원을 방문하기 위해 "프레스 패스"를 요청했습니다. 우리는 확실히 그런 것은 없지만 약간의 홍보가 우리에게 도움이될 수 있습니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_V3_Intro_Message	Two Point Radio의 특파원 인 샐리 피그 블랭킷 (Sally Figblanket)은 그녀가 카운티의 의료 관련 시리즈의 일환으로 병원을 방문할 수 있는지 물었습니다.\n그녀가 병원에 깊은 인상을 받았다면 우리에게 도움이될 수 있습니다. 평판. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_V4_Intro_Message	Two Point Radio의 기자 샐리 피그 블랭킷은 병원에 가치있는 뉴스가 있는지 물었다. 이것은 그녀를 속여서 언론을 위해 여기로 오게할 수 있는 좋은 기회가될 수 있으며, 누가 알겠는가, 아마도 그녀가 뭔가를 찾을 수있을 것입니다.\n그녀가 병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_Radio_Reporter_V5_Intro_Message	투 포인트 라디오 기자 샐리 피그 블랭킷이 병원 방문을 요청하고있다. 그녀가 무엇을 찾게될지 잘 모르겠지만, 홍보로 이어질 수 있습니다.\n병원에 감명을 받았다면 우리의 평판에 좋을 것입니다. 어떻게 생각하십니까?
Challenges/VIP_RivalBoss_Bungle_Reward_Message_1	Sophie Nova는 최근 방문에 실망했다고 BMail을 보냈습니다. 이로 인해 회사의 관계가 앞으로 나아갈 지 확신할 수 없게되었습니다.\nBungle은 우리가 우리에게 비밀 과학 마법을 모두 공유하지 않을 것입니다. 계속해!
Challenges/VIP_RivalBoss_Bungle_Reward_Message_2	Sophie Nova는 최근 방문이 그녀에게 영감을 주지 않았으며 실제로 그녀를 매우 슬프게 만들었다 고 BMail을 보냈습니다.\n오, 이런. 카운티의 선도적 인 기술 정신에 깊은 인상을 남기려면 병원을 개선해야 합니다.
Challenges/VIP_RivalBoss_Bungle_Reward_Message_3	Sophie Nova는 방문하게되어 기쁘다는 BMail을 보냈지만 아직 우리의 잠재력에 도달하지 못했다고 생각합니다.\nBungle Technologies와 강력한 관계를 유지하는 것은 우리 조직의 미래에 매우 중요할 수 있습니다. 나쁘지는 않았지만 노바 씨의 방문은 훨씬 나아질 수있었습니다!
Challenges/VIP_RivalBoss_Bungle_Reward_Message_4	Sophie Nova는 BMail을 보내 감사의 말을 전하고 방문을 통해 흥미로운 아이디어를 얻었다 고 말했습니다.\nBungle에서 최근 연구 내용을 조금 보내드립니다. 우리가 필요한 것만 생각합니다.
Challenges/VIP_RivalBoss_Bungle_Reward_Message_5	Sophie Nova는 우리에게 감사를 표하기 위해 BMail을 보냈습니다. 그녀는 brilliant라는 단어를 5 번 사용했으며 그 이후로 일을 그만 두지 않았다고 말했습니다.\nBungle이 연구의 일부를 우리에게 보내고 있습니다. 잘하셨습니다, 보스.
Challenges/VIP_RivalBoss_Bungle_V1_Intro_Message	라이벌 임원이자 Bungle의 CEO 인 Sophie Nova는 곧 영감을 얻기 위해 병원을 방문할 것이라고 알려 왔습니다. 그녀는 Bungle의 특허받은 5 세대 자동 팬케이크 메이커를 출시 한 후 발명가의 블록이 있다고 덧붙였습니다.\n병원에 감명을 받으면 연구 부서에 도움이될 정보를 공유할 수 있습니다.
Challenges/VIP_RivalBoss_Bungle_V2_Intro_Message	라이벌 임원이자 Bungle의 CEO 인 Sophie Nova는 곧 영감을 얻기 위해 병원을 방문할 것이라고 알려 왔습니다. 그녀는 작은 수족관 집사가 출시된 후 새로운 아이디어를 찾고 있다고 말합니다.\n병원에 감명을 받았다면 연구 부서에 도움이될 정보를 공유할 수 있습니다.
Challenges/VIP_RivalBoss_Bungle_V3_Intro_Message	라이벌 임원이자 Bungle의 CEO 인 Sophie Nova는 곧 영감을 얻기 위해 병원을 방문할 것이라고 알려 왔습니다. 그녀는 "놀라움을 원하기 때문에"알고 싶지 않다고 결정하기 전에 우리의 치료 장비를 어떻게 보정하는지 물었습니다.\n병원에 감명을 받았다면 연구에 도움이될 몇 가지 정보를 공유할 수 있습니다. 학과.
Challenges/VIP_RivalBoss_Bungle_V4_Intro_Message	라이벌 임원이자 Bungle의 CEO 인 Sophie Nova는 곧 영감을 얻기 위해 병원을 방문할 것이라고 알려 왔습니다. 그녀는 Bungle Medi-Tech 병원이 비효율적 인 상황을 겪고 있으며 새로운 관점이 필요하다고 말했습니다.\n병원에 깊은 인상을 받으면 연구 부서에 도움이될 정보를 공유할 수 있습니다.
Challenges/VIP_RivalBoss_Bungle_V5_Intro_Message	라이벌 임원이자 Bungle의 CEO 인 Sophie Nova는 곧 영감을 얻기 위해 병원을 방문할 것이라고 알려 왔습니다.\n병원에 깊은 인상을 받았다면 연구 부서에 도움이될 정보를 공유할 수 있습니다.
Challenges/VIP_RivalBoss_Holistix_Reward_Message_1	Holistix의 Augustus Lavender가 애도를 표하기 위해 저희에게 연락했습니다. 분명히 우리 병원은 치유 크리스탈조차 고칠 수없는 부정적인 에너지의 주머니에 있습니다.
Challenges/VIP_RivalBoss_Holistix_Reward_Message_2	Augustus Lavender를 방문해 주셔서 감사 드리며 그가 우리에게 남겨준 Holistix Light-as-Air 비스킷을 즐기기를 바랍니다. 통과 할게요, 고마워요.
Challenges/VIP_RivalBoss_Holistix_Reward_Message_3	Holistix의 Augustus Lavender가 편지를 보냈습니다. 그는 감사를 표하며 자연의 기적 성장은 무료라고 말합니다. 음, 아우구스투스 감사합니다.
Challenges/VIP_RivalBoss_Holistix_Reward_Message_4	Holistix의 Augustus Lavender는 그가 떠날 때 병원 부지에 자신의 특별한 수제 퇴비를 뿌렸다 고합니다. 그게 무슨 뜻인지 모르겠지만 조금 이상하게 들립니다.
Challenges/VIP_RivalBoss_Holistix_Reward_Message_5	우리는 Augustus Lavender의 호의로 Holistix로부터 '선물'을 받았습니다. 의심스러워서 연구실로 보냈습니다. 분명히 그것은 '동종 요법 독'으로 알려진 것입니다. 마시기에 전적으로 안전하고 실제로 아주 맛있습니다. 그는 정말 우리를 미워해야 합니다.
Challenges/VIP_RivalBoss_Holistix_V1_Intro_Message	라이벌 임원이자 Holistix의 CEO 인 Augustus Lavender가 곧 병원에 올 것입니다. 최근 '분위기 클렌저'의 새로운 라인을 출시했기 때문에 분명히 나타날 것입니다.\n그는 꽤 무해하지만 그가 성가신 경우를 대비해서 그를 지켜봐야합니다.
Challenges/VIP_RivalBoss_Holistix_V2_Intro_Message	라이벌 임원이자 Holistix의 CEO 인 Augustus Lavender가 곧 병원에 올 것입니다. 분명히 그는 우리가 제공하는 약이 "만들어진 것"이라고 환자들에게 경고하려고합니다.\n그는 꽤 무해하지만 그가 골칫거리가될 경우를 대비해 그를 주시해야 합니다.
Challenges/VIP_RivalBoss_Holistix_V3_Intro_Message	라이벌 임원이자 Holistix의 CEO 인 Augustus Lavender가 곧 병원에 올 것입니다. 지루함이 많기 때문에 약간 활기가 넘칩니다.\n아주 무해하지만 골칫거리가될 경우를 대비해 주시해야 합니다.
Challenges/VIP_RivalBoss_Holistix_V4_Intro_Message	라이벌 임원이자 Holistix의 CEO 인 Augustus Lavender가 곧 병원에 올 것입니다. 그 남자에 대해 당신이 좋아하는 것을 말하면, 그는 좋은 냄새를 맡습니다.\n그는 꽤 무해하지만 그가 성가신 일이 생길 경우를 대비하여 그를 지켜봐야합니다.
Challenges/VIP_RivalBoss_Holistix_V5_Intro_Message	라이벌 임원이자 Holistix의 CEO 인 Augustus Lavender가 곧 병원에 올 것입니다. 나중에 '불운의 의식'에서 불 태우기 위해 우리 장비의 대략적인 스케치를 그리는 것을 볼 수있을 것입니다.\n그는 꽤 무해하지만 그가 성가신 경우를 대비하여 그를 지켜봐야합니다.
Challenges/VIP_RivalBoss_Jumbo_Reward_Message_1	Jumbo Mega Corp의 한 소식통은 그의 최근 방문 이후 Jumbo McNally가 우리를 어떤 종류의 목록에서 벗어 났고 우리에 대한 중얼 거리는 것을 거의 완전히 중단했으며 매우 좋은 상태라고 말했습니다.
Challenges/VIP_RivalBoss_Jumbo_Reward_Message_2	Jumbo Mega Corp의 한 소식통은 최근 방문한 Jumbo McNally가 사무실 주변에서 우리에 대해 농담을 하기 시작했으며 더 이상 우리를 위협으로 간주하지 않는다고 말했습니다.
Challenges/VIP_RivalBoss_Jumbo_Reward_Message_3	Jumbo Mega Corp의 한 소식통은 최근 방문 후 Jumbo McNally가 이전보다 더 이상 걱정하거나 편안하지 않다고 말했습니다. 그는 우리에게 정확한 관심을 기울이고 있다고 믿습니다.
Challenges/VIP_RivalBoss_Jumbo_Reward_Message_4	Jumbo Mega Corp의 한 소식통에 따르면 최근 방문한 Jumbo McNally는 사람들의 점심을 버리고 사무실에서 비정상적으로 울부 짖으며 기분이 좋지 않았습니다.
Challenges/VIP_RivalBoss_Jumbo_Reward_Message_5	Jumbo Mega Corp의 한 소식통에 따르면 최근 방문한 Jumbo McNally는 '플래시 팀'을 구성하여 가능한 한 빨리 전체 조직을 파괴할 수 있는 수단을 찾아 냈습니다.
Challenges/VIP_RivalBoss_Jumbo_V1_Intro_Message	라이벌 임원이자 Jumbo Mega Corp의 CEO 인 Jumbo McNally는 분명히 병원으로가는 길에 있습니다. 오 이런.\n우리는 돈으로 살 수 있는 가장 정교한 형태의 잔인 함과 방해 행위에 대비해야 합니다.
Challenges/VIP_RivalBoss_Jumbo_V2_Intro_Message	라이벌 임원이자 Jumbo Mega Corp의 CEO 인 Jumbo McNally는 분명히 병원으로가는 길에 있습니다. 관리인 직원에게 경고해야할 것 같습니다.\n우리는 돈으로 살 수 있는 가장 정교한 형태의 잔인 함과 방해 행위에 대비해야 합니다.
Challenges/VIP_RivalBoss_Jumbo_V3_Intro_Message	라이벌 임원이자 Jumbo Mega Corp의 CEO 인 Jumbo McNally는 분명히 병원으로가는 길에 있습니다. 내 소식통은 이것이 좋은 소식이 아니라고 제안하는 것 같습니다.\n우리는 돈으로 살 수 있는 가장 정교한 형태의 잔인 함과 방해 행위에 대비해야 합니다.
Challenges/VIP_RivalBoss_Jumbo_V4_Intro_Message	라이벌 임원이자 Jumbo Mega Corp의 CEO 인 Jumbo McNally는 분명히 병원으로가는 길에 있습니다. 그가 아프다는 의미 일 수도 있지만 의심 스럽습니다.\n우리는 돈으로 살 수 있는 가장 정교한 형태의 잔인 함과 방해 행위에 대비해야 합니다.
Challenges/VIP_RivalBoss_Jumbo_V5_Intro_Message	라이벌 임원이자 Jumbo Mega Corp의 CEO 인 Jumbo McNally는 분명히 병원으로가는 길에 있습니다. 보관하고 싶은 것은 무엇이든 고정시켜야합니다.\n돈으로 살 수 있는 가장 정교한 형태의 잔인 함과 방해 행위에 대비해야 합니다.
Challenges/VIP_RivalBoss_Orb_Reward_Message_1	Orb 재단의 Agatha Sphere는 그녀가 일찍 병원을 떠날 때 광적으로 삐걱 거리는 소리를 들었습니다 . 이것은 좋은 일이될 수 없습니다. 그녀가 방문하는 동안 무엇을 했습니까?
Challenges/VIP_RivalBoss_Orb_Reward_Message_2	The Orb Foundation에서 유출된 메모는 Agatha Sphere가 병원을 방문하는 동안 신병을 찾았다 고보고하며 병원이 "약간 쓰레기"라고 생각했다고 덧붙였습니다. 솔직히 말해서 이상적이지 않습니다.
Challenges/VIP_RivalBoss_Orb_Reward_Message_3	The Orb Foundation의 보고서에 따르면 Agatha Sphere는 병원 여행 중에 몇 가지 "약한 생각을 가진 바보"와 부딪 혔지만 그렇지 않으면 우리에 대해 "중립의 강한 느낌"을 가지고 있다고합니다. 흠.
Challenges/VIP_RivalBoss_Orb_Reward_Message_4	Orb Foundation의 선임 의사 또는 '최고의 치료사'에 따르면 Agatha Sphere는 그녀의 방문에서 꽤 실망한 표정으로 돌아 왔습니다. 그녀가 예상했던 것보다 더 잘하고있는 것일까 요?
Challenges/VIP_RivalBoss_Orb_Reward_Message_5	오브 재단은 아주 기괴하고 약간 혼란스러운 이미지의 형태로 우리 병원에 대한 얇게 가려진 공격을 담은 새로운 홍보 비디오를 방금 공개했습니다. Agatha Sphere는 그녀의 방문으로 인해 위협을 느꼈을 것입니다.
Challenges/VIP_RivalBoss_Orb_V1_Intro_Message	라이벌 임원이자 Orb 재단의 CEO 인 Agatha Sphere가 곧 병원을 방문할 예정입니다. 그녀가 자주 등장하는 것은 아니기 때문에 우리는 영광스러워해야 합니다. 제 생각에는…\n우리는 그녀가 환자를 괴롭 히고 병원을 방해할 것으로 기대해야 합니다.
Challenges/VIP_RivalBoss_Orb_V2_Intro_Message	라이벌 임원이자 Orb 재단의 CEO 인 Agatha Sphere가 곧 병원을 방문할 예정입니다. 그녀의 눈을 똑바로 쳐다 보지 말고 나를 믿으십시오.\n우리는 그녀가 환자를 괴롭 히고 병원을 방해할 것으로 기대해야 합니다.
Challenges/VIP_RivalBoss_Orb_V3_Intro_Message	라이벌 임원이자 Orb 재단의 CEO 인 Agatha Sphere가 곧 병원을 방문할 예정입니다. 나는 샌들 착용을 장려하는 사람을 의심하고 그녀도 예외는 아닙니다.\n우리는 그녀가 환자를 괴롭 히고 병원을 방해할 것으로 기대해야 합니다.
Challenges/VIP_RivalBoss_Orb_V4_Intro_Message	라이벌 임원이자 Orb 재단의 CEO 인 Agatha Sphere가 곧 병원을 방문할 예정입니다. 그녀는 환자 몇명을 데리고 편안한 가운을 입히려 고합니다. 그것이 나쁘지 않다면 그게 뭔지 잘 모르겠습니다.\n우리는 그녀가 환자를 괴롭 히고 병원을 방해할 것으로 기대해야 합니다.
Challenges/VIP_RivalBoss_Orb_V5_Intro_Message	라이벌 임원이자 Orb 재단의 CEO 인 Agatha Sphere가 곧 병원을 방문할 예정입니다. 벌써 혼란 스러워요… 누울 필요가 있습니다.\n우리는 그녀가 환자를 괴롭 히고 병원을 방해할 것으로 기대해야 합니다.
Challenges/VIP_Rival_Boss_AltMed_Arrival_Advisor	라이벌 임원이자 Holistix의 CEO 인 Augustus Lavender가 병원에 도착했습니다.
Challenges/VIP_Rival_Boss_AltMed_Intro_Message	Holistix Environmental Medicine & Pharmaceuticals의 사장 인 Augustus Lavender가 방문합니다. 그는 우리 회사 간의 경쟁은 잊혀져 야한다고 말했습니다. 그는 단지 와서 평화와 사랑을 전파하기를 원합니다. 그게 무슨 뜻인지 잘 모르겠습니다. 그를 주시합시다.
Challenges/VIP_Rival_Boss_AltMed_Intro_Title	Holistix에서 방문자
Challenges/VIP_Rival_Boss_AltMed_Name	라이벌 보스 아우구스투스 라벤더
Challenges/VIP_Rival_Boss_BigBad_Arrival_Advisor	라이벌 임원이자 Jumbo Mega Corp의 CEO 인 Jumbo McNally가 병원에 도착했습니다.
Challenges/VIP_Rival_Boss_BigBad_Intro_Message	Jumbo Mega Corp의 CEO 인 Jumbo McNally가 방문 중이라고합니다. 그는 Jumbo Healthcare Inc.와의 합병 가능성에 대해 논의하고자합니다. 그를 지켜 보도록합시다. 그는 사업과 관련하여 악명 높을 정도로 단조롭습니다.
