Fonts & Materials/ARIAL SDF	
Leopard Skin patients are arriving??	
Leopard Skin Emergency	
Leopard Skin Patients	
"There's been an outbreak of Leopard Skin after Bungle Technologies cross-bread root vegetables with big cats, and the failed attempts were then sold by a Crumley Megamarket. There's a group looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's been an outbreak of Leopard Skin after Bungle's ""Still (a)life"" paint was used as face paint in town fairs across the County. A group of the young at heart are now looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
Lightheaded patients are arriving??	
Patients with Lightheadedness are requesting immediate treatment.	
Lightheadedness Emergency	
Lightheaded Patients	
"There's been an outbreak of Lightheadeness in the area, causing record levels of light pollution in Hogsport, a group of patients are looking for treatment, now.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"A group of students from the university were revising for their upcoming exams and didn't leave the library for six days. They've become too bright and have contracted Lightheadednes. A group of them are looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's been an outbreak of Lightheadedness in the area. There have been several cases of pilots mistaking sufferers for landing lights, most recently, a plane narrowly avoided landing on a cricket pitch. That cricket team are now looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's been an outbreak of Lightheadedness in the area, and, understandably, most of the sufferers would like their heads back. There's a group looking for treatment, now.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's been an outbreak of Lightheadedness in the area and, once they'd managed to communicate with a series of blink and flashes it was clear that, a group of them would like treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
Touch of Midas Emergency	
Touch of Midas Patients	
"There's been an outbreak of Touch of Midas after treasurers at The Orb Foundation fell ill due an excess of gold in their systems. There's a group looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's been an outbreak of Touch of Midas after the County's favourite new fantasy-drama led to an unhealthy and vague affinity to Greek mythology. A group are looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
Mime Crisis patients are arriving??	
Mime Crisis Emergency	
Mime Crisis Patients	
Mock Star Emergency	
Mock Star Patients	
"There's been an outbreak of Mock Star after a build-up of wishful thinking in the Lower Bullocks area. Their families are sending them for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"A local barbershop quartet, called The Four Freds, wrongly believes that they're about to embark on a massive stadium tour. They haven't even arranged for anyone to run their Barber Shop. Their families are sending them for treatment for Mock Star.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's a group suffering from Mock Star after a mysterious gas leak at a local rock concert led to never-before-seen levels of enthusiasm. Their families are sending them for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's been an outbreak of Mock Star after a recent spike in polite and positive responses to karaoke performances. The families of the afflicted are sending them for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
Monobrow patients are arriving??	
Monobrow Emergency	
Monobrow Patients	
Mummified patients are arriving??	
A group of Mummified patients are requesting immediate treatment.	
Mummy Issues	
Mummified Patients	
"There's been an outbreak of Premature Mummification after The Orb Foundation began performing ""Toilet Paper Therapy"" on members at its wellness centres. There's a group of attendees looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's been an outbreak of Premature Mummification in the area after a children's Arts & Crafts show demonstrating the technique led to a number of napping parents being embalmed. There's a group of them looking for treatment, now.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's been an outbreak of Premature Mummification after a number of citizens fell victim to an Orb Foundation pyramid scheme. There's a group of them looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
Night Fever patients are arriving??	
A group of Night Fever patients require immediate Psychiatric treatment.	
Night Fever Emergency	
Night Fever Patients	
"There's been an outbreak of Night Fever after the closure of the County's oldest discotheque led to fury, mass hysteria and dancing. There's a group in need of treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's been an outbreak of Night Fever after a group of extras on-set at the latest Roderick Cushion film got carried away and didn't want to take off their costumes. The production company needs the clothes back and is looking to send them for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's been an outbreak of Night Fever after some cryogenically frozen rascals from the 20th century were accidently defrosted at Bungle HQ and danced right out the front door. They're looking for treatment to fit in better in the modern day.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
Pandemic patients are arriving??	
A group of Pandemic patients are requesting immediate treatment.	
Pandemic Emergency	
Pandemic Patients	
"There's been an outbreak of Pandemic in the area after a 24-hour outdoor ""Soup-a-thon"" in Flottering got caught in unforecast showers. A group of the soup heads are bone-dry, but looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's been an outbreak of Pandemic in the area after one of Two Point County's most popular TV Chefs demonstrated a particularly complicated stew recipe, and there's a group looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's been an outbreak of Pandemic after a range of saucepans were mislabelled as non-stick. A group of sufferers are now looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's been an outbreak of Pandemic after a last minute costume party coincided with a massive sale in the area's largest kitchenware outlet. A group of partygoers are looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
Patients for Pharmacy are arriving??	
A group of patients are requesting immediate treatment in a Pharmacy.	
Pharmacy Emergency	
Pharmacy Patients	
"A group of Pharmacy patients have been processed by a Holistix hospital, and are now nicely scented and looking for further treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"A group of Pharmacy patients have been stranded after a Bungle Medi-Tech Hospital dissolved over night, and are now looking for further treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"A group of Pharmacy patients have broken out of an Orb Wellness Centre, and are now looking for further treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"A group of Pharmacy patients were kicked out of a Jumbo Hospital for making ""slanderous"" comments about Mr McNally, and are now looking for further treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"There's been an outbreak of Pharmacy-related illnesses after a recent craze that involved eating highlighter pens took the County by storm. There's a group looking for treatment, now.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"There's been an outbreak of Pharmacy-related illnesses after a software update for Bungle's ""Smart-Plasters"" led to multiples cases of blood poisoning. A group are looking for treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
Patients for Herb Garden are arriving??	
"There's a group of patients looking for treatment in the Herb Garden after some cavalier allotmenteers played around with radioactivity and developed illnesses instead of superpowers.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"There's a group of patients looking for treatment in the Herb Garden after Jasmine Odyssey's performance at a local botanical garden was so potent that it triggered a mass blooming that made the air mildly toxic.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"There's a group of patients looking for treatment in the Herb Garden after a Jumbo Hospital wasn't able to meet their needs.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
Herb Garden Emergency	
Herb Garden Patients	
Patients for Psychiatry are arriving??	
Psychiatry Emergency	
Psychiatry Patients	
"A group of Psychiatry patients have finished treatment at a Holistix hospital, and are now poorer and looking for further treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"A group of Psychiatry patients have been stranded after a Bungle Medi-Tech Hospital disappeared, and are now looking for further treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"A group of Psychiatry patients have de-robed from an Orb Wellness Centre, and are now looking for further treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"A group of Psychiatry patients were kicked out of a Jumbo Hospital for failing to bow to Mr McNally, and are now looking for further treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"There's been an outbreak of Psychiatric illnesses after a self-made promotional film from The Orb Foundation was aired on a particularly rainy Sunday and unhinged huge parts of the County. There's a group looking for treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"There's been an outbreak of Psychiatric illnesses after Two Point Radio accidentally sent out a strange and distressing frequency. There's a group looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
Mock Star patients are arriving??	
A group of Mock Stars require immediate Psychiatric treatment.	
Mock Star Emergency	
Mock Star Patients	
Shock Horror Emergency	
Shock Horror Patients	
"There been an outbreak of Shock Horror in the area after a batch of Bungle's 'grown in an hour' carrots didn't have the static charge removed. There's a group of sufferers looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's been an outbreak of Shock Horror after a Bungle experiment accidently sent an electric current through all of the County's spoons. There's a group of yoghurt eaters looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's been an outbreak of Shock Horror after Jasmine Odyssey released a new single without warning and caused dangerous levels of surprise and static electricity. There's a group of fans looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"Use your best staff, and equipment, and utilise queue management to diagnose and cure the VIPatient."	
VIP Patient	
"Bad news, we failed to cure the VIP patient. This won't be great for our reputation."	
"Good news, we cured the VIP patient! A generous donation has been made to the hospital. Excellent."	
"One of Burp!'s flavour creation team is unwell and looking for treatment.\nWe'll be rewarded if we treat this V.I.Patient, should we have them sent here?"	
"One of the Mayor's cousins is unwell and looking for treatment.\nWe'll be rewarded if we treat this V.I.Patient, should we have them sent here?"	
"One of Jasmine Odyssey's background performers is unwell and looking for treatment.\nWe'll be rewarded if we treat this V.I.Patient, should we have them sent here?"	
"One of Roderick Cushion's make-up crew is unwell and looking for treatment.\nWe'll be rewarded if we treat this V.I.Patient, should we have them sent here?"	
"One of Two Point Radio's executives is unwell and looking for treatment.\nWe'll be rewarded if we treat this V.I.Patient, should we have them sent here?"	
"One of Mitton University's leading academics is unwell and looking for treatment.\nWe'll be rewarded if we treat this V.I.Patient, should we have them sent here?"	
"One of Two Point County's leading athletes is unwell and looking for treatment.\nWe'll be rewarded if we treat this V.I.Patient, should we have them sent here?"	
"One of the area's fanciest aristocrats is unwell and looking for treatment.\nWe'll be rewarded if we treat this V.I.Patient, should we have them sent here?"	
"One of Pelican Wharf's shiniest business minds is unwell and looking for treatment.\nWe'll be rewarded if we treat this V.I.Patient, should we have them sent here?"	
"One of the Two Point Squabbler's lead writers is unwell and looking for treatment.\nWe'll be rewarded if we treat this V.I.Patient, should we have them sent here?"	
"A group of Surgery patients have been stranded after a Bungle Medi-Tech Hospital was declared not legally there anymore, and are now looking for further treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"A group of Surgery patients have been expelled from an Orb Wellness Centre, and are now looking for further treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"A group of Surgery patients were kicked out of a Jumbo Hospital for refusing to pay the service charge, and are now looking for further treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"There's been an outbreak of Surgery-related illnesses after attendees at a local town fair had their insides ruined by cake. There's a group of them looking for treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"There's been an outbreak of Surgery-related illnesses after a promotion by Cheesy Gubbins led to a number of people accidentally consuming cheese-coloured ball bearings. There's a group looking for treatment, now.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
Patients for Surgery are arriving??	
A group of patients require immediate treatment in Surgery.	
Surgery Emergency	
Surgical Patients	
Touch of Midas patients are arriving??	
Turtle Head patients are arriving??	
A group of Turtle Head patients are requesting immediate treatment.	
Turtle Head Emergency	
Turtle Head Patients	
"There's been an outbreak of Turtle Head after Bungle produced an unusually delicious strain of lettuce that has the area's consumption up 380%, and there's a group looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
"There's been an outbreak of Turtle Head after a bridge collapsed, causing a number of people to fall into the river Bilge and get bitten by its indigenous turtles. There's a group looking for treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"There's been an outbreak of Turtle Head after a Bungle experiment inadvertendly, and temporarily, strengthened the gravity in certain parts of the County. It's alright now, except for the group looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
Verbal Diarrhea patients are arriving??	
Patients for the Ward are arriving??	
A group of patients are requesting immediate treatment on a Ward.	
Ward Emergency	
Ward Patients	
"A group of Ward patients have just left a Holistix hospital, and are now moisturised and looking for further treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"A group of Ward patients have been stranded after a Bungle Medi-Tech Hospital imploded, and are now looking for further treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"A group of Ward patients have fled from an Orb Wellness Centre, and are now looking for further treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"A group of Ward patients were kicked out of a Jumbo Hospital for questioning treatment methods, and are now looking for further treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"There's been an outbreak of Ward-related illnesses after a range of ultra-organic bedding from Holistix caused widespread irritation and inflammation. There's a group looking for treatment.\nWe'll be rewarded if we treat this group of patients, should we have them sent here?"	
"There's been an outbreak of Ward-related illnesses after the Two Point Squabbler released a feature on ""Advanced Sleeping Positions"" with incorrect diagrams, that led to a range of internal and external conditions. There's a group looking for treatment.\nWe'll be rewarded if we treat this group, should we have them sent here?"	
Receive a star for completing challenges in this simulated hospital scenario.	
Receive a star for completing challenges in this simulated hospital scenario.	
Star Challenge	
Star Challenge	
Use targeted marketing to draw specific types of patients to the hospital.	
Lure & Cure	
"R.E.M.I. X is covering <style=""AdvisorHighlight"">{[PERCENT]}</style> of our total running costs."	
{[POINTS]} Research Points ({[PROJECT]})	
{[POINTS]} Research Points	
None	
None	
	
Barbershop Quartet	
	
Circus Incident	
	
Fractures Emergency	
Cure {[COUNT]} Patients with {[ILLNESS]}	
	
VIP Patient Group	
Treatment Room: {[ROOM]} ({[COUNT]} in the Hospital)	
You cured {[COUNT]} out of {[TARGET]} patients	
	
VIP Patient	
Cafe	
"{[STAFF]} has a request for us, what do you think?\\n\\n""My mum thinks I'm an excellent cook. I'd love to serve slop to sick people."""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
{[STAFF]} has successfully completed the challenge!	
Reception	
"{[STAFF]} has a request for us, what do you think?\\n\\n""I think I have a very welcoming face. I'd love to use it on new patients arriving at the hospital."""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
{[STAFF]} has successfully completed the challenge!	
Cure Patients	
"{[STAFF]} has a request for us, what do you think?\\n\\n""I love curing patients. I don't care who. I just love seeing their happy faces. I want to do it more!"""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
{[STAFF]} has successfully completed the challenge!	
Cure Patients	
"{[STAFF]} has a request for us, what do you think?\\n\\n""I love curing patients. Anyone will do. I just want to heal the world."""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
{[STAFF]} has successfully completed the challenge!	
Cure Patients	
"{[STAFF]} has a request for us, what do you think?\\n\\n""My cousin is a clown. He's always so happy. It's extremely irritating. I want to cleanse the world of this scourge."""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
{[STAFF]} has successfully completed the challenge!	
Cure Patients	
"{[STAFF]} has a request for us, what do you think?\\n\\n""My mum has a really angular face. I love her, but it is a bit odd. It's inspired me to cure Cubism patients..."""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
{[STAFF]} has successfully completed the challenge!	
Cure Patients in Pharmacy	
"{[STAFF]} has a request for us, what do you think?\\n\\n""I really enjoy forcing other people to take drugs. Seems like the Pharmacy would be the ideal place for me."""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
{[STAFF]} has successfully completed the challenge!	
Cure Patients in Psychiatry	
"{[STAFF]} has a request for us, what do you think?\\n\\n""It's a personal goal of mine to listen to people yapping on about their first world problems while I sit in silence in a comfy chair. Can you help?"""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
{[STAFF]} has successfully completed the challenge!	
Cure Patients in Ward	
"{[STAFF]} has a request for us, what do you think?\\n\\n""I've always enjoyed watching people sleep. Can I work on the Ward for a bit?"""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
{[STAFF]} has successfully completed the challenge!	
Janitor Jobs	
"{[STAFF]} has a request for us, what do you think?\\n\\n""Once, when I was a child, I dropped a packet of biscuits in the street. I've been feeling guilty about it ever since. Maybe if I clean up enough litter, I can at last find redemption."""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
{[STAFF]} has successfully completed the challenge!	
Janitor Jobs	
"{[STAFF]} has a request for us, what do you think?\\n\\n""I love repairing stuff. I once broke my dad. He's okay now. Machines can't be that different, right?"""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
{[STAFF]} has successfully completed the challenge!	
Janitor Jobs	
"{[STAFF]} has a request for us, what do you think?\\n\\n""I had a dream last night about unblocking some really dirty toilets. It was intense. It's all I can think about now. Please help me!"""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
{[STAFF]} has successfully completed the challenge!	
Janitor Jobs	
"{[STAFF]} has a request for us, what do you think?\\n\\n""I used to have a nice plant called Fred. Sadly he died when a passing rabbit ate him. I'd like to make it up to Fred by looking after some of the hospital plants."""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
{[STAFF]} has successfully completed the challenge!	
"Get this disgruntled staff member to stay by addressing their top complaints, improving working conditions or increasing their salary."	
{[STAFF]} Threat	
Learn Qualification	
"{[STAFF]} has a request for us, what do you think?\\n\\n""I'd really like to learn some new skills. I think I have untapped potential. Can I go on a training course?"""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
"{[STAFF]} has successfully learnt a new qualification, achieving their goal."	
Learn Psychiatry	
"{[STAFF]} has a request for us, what do you think?\\n\\n""Is psychiatry the one where I can move things with my mind? Regardless, I'd really like to learn it."""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
"{[STAFF]} has successfully learnt a new qualification, achieving their goal."	
Learn Research	
"{[STAFF]} has a request for us, what do you think?\\n\\n""I love inventing stuff. I've got loads of ideas. I built a cannon for my dog. Fitted my mum with robot hands. Just imagine what I could achieve if I applied myself to medical science..."""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
"{[STAFF]} has successfully learnt a new qualification, achieving their goal."	
Learn Surgery	
"{[STAFF]} has a request for us, what do you think?\\n\\n""I really enjoy cutting people. I'd love to be able to do this and get paid for it."""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
"{[STAFF]} has successfully learnt a new qualification, achieving their goal."	
Work in GP's Office	
"{[STAFF]} has a request for us, what do you think?\\n\\n""My father was a GP. My grandfather was a GP. My great grandfather was a murderer, sadly. But anyway, I think being a GP is in my blood."""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
{[STAFF]} has successfully completed the challenge!	
Work in X-ray	
"{[STAFF]} has a request for us, what do you think?\\n\\n""There's something so intimate about seeing a person's skeleton. I'd love to X-ray a few patients. Erm, if that's okay?"""	
{[STAFF]} Goal	
{[STAFF]} failed to complete the challenge!	
{[STAFF]} has successfully completed the challenge!	
"{[STAFF]} has a request for us, what do you think?\\n\\n""I'm not usually one for suggestions, but the other day I had this great idea, and I can't stop thinking about it. What if we were to, like, cure some people??wouldn't that be cool?"""	
"I don't know about you, but I find the relentless stream of deaths somewhat depressing. Do you think we could go a few months without any fatalities?"	
"{[STAFF]} has a request for us, what do you think?\\n\\n""I've always wanted to see a large sum of money, in person. I don?셳 want to roll around on it, or anything, I'm not weird. I just want to look at it with my eyes."""	
{[STAFF]} has a career goal they would like to achieve. What do you think?	
{[STAFF]} Goal	
{[STAFF]} failed to complete their career goal!	
{[STAFF]} has successfully completed their career goal!	
{[STAFF]}	
"We've received a request from one of our staff, {[STAFF]}. What do you think?"	
Staff Request	
"Unfortunately, we failed to complete the request from {[STAFF]}."	
"Well done, we successfully completed the request from {[STAFF]}!"	
"I used to be terrified of ghosts. But since my autopsychic training, I find them strangely alluring. Maybe we should capture a few?"	
"It's very sad when a patient dies. Doubly so when they return to haunt us. Having said that, harvesting their essence can be very enlightening for us researchers."	
"There's so much we could do with this place. A few more plants, a nice picture, some art perhaps. Maybe even clean up that vomit?"	
I'm feeling very itchy. More so than usual. That and I keep getting the sniffles. Can we improve hygiene levels around here?	
"Am I the only one who's freezing? I can't feel my face anymore. Radiators aren't that expensive, are they?"	
"I'm all hot and sweaty, I can barely concentrate. Is the air-conditioning broken?"	
"As a marketing expert, I really think we should do more marketing. After all, marketing is where dreams become reality."	
"I'm making a wig. For a friend. I need a lot of hair, ASAP. Could you catch me some of those monobeasts?"	
Have you considered promoting some of our staff? I think it would greatly benefit the hospital.	
"{[STAFF]} has a request for us, what do you think?\\n\\n""Ever since I was small, I've longed to be revered and distinguished like a famous building. It would be such a delight to see this hospital reach the kind of standing that I, a person, can only dream of."""	
"According to my calculations, we should be doing X% more research, where X is more than zero."	
It would be great to work in a really spacious environment with lots of luxury furnishing. Something really prestigious. What do you think?	
"I'd love to have a really big, plush staff room to relax in on my break. How about it, boss?"	
"I've been experiencing a lot of rage recently. I'm sure I heard someone sobbing in the toilets too. Don't forget, a happy team is a productive team."	
"If there's one thing I learned from my training masterclass, it's that we should train people. Wisdom like that is precious."	
"Some of the more junior staff are a bit, well, rubbish. Maybe we should run a few more training courses?"	
"Upgrading our machines could really help us cure more patients, and diagnose people faster. As a mechanics enthusiast, I highly recommend it!"	
Reach {[COUNT]} budget score	
Place {[COUNT]} {[ITEM0]} & {[ITEM1]}	
"Place {[COUNT]} {[ITEM0]}, {[ITEM1]}, {[ITEM2]} & {[ITEM3]}"	
Place {[COUNT]} {[ITEM]}	
"Select an item from the Items list.\nTo place an item, click the Left Mouse Button.\nTo rotate a held item, hold the Left Mouse Button and drag left/right.\nTo get rid of a held item, click the Right Mouse Button."	
Build a Reception	
Build {[COUNT]} {[ROOM]}[i2p_One]Build a {[ROOM]}	
"To build a room:\nSelect a room from the Rooms list.\nDrag out a floorplan of the appropriate size.\nThen place the required items in the room.\nTo complete the room, click the green tick."	
Buy {[COUNT]} Green Energy Machines[i2p_One]Buy {[COUNT]} Green Energy Machine	
"Purchase green energy machines to increase your power supply. You can find wind turbines, solar panels and hydro dams around the city."	
Buy {[COUNT]} Buildings[i2p_One]Buy {[COUNT]} Building	
"The monthly bonus that you receive from the hotel can vary between {[LOWER]} and {[UPPER]} of your current running costs, depending on your cure rate during the previous 3 month evaluation period."	
"Consider using your surplus power to  <style=""AdvisorHighlight"">open</style> one, or more, of your closed rooms."	
Complete a Research Project	
Capture {[COUNT]} Ghosts	
Sweep up {[COUNT]} bits of litter[i2p_One]Sweep up a bit of litter	
Repair {[COUNT]} Machines[i2p_One]Fix a broken machine	
Water {[COUNT]} Plants[i2p_One]Water a plant	
Restock {[COUNT]} Vending Machines[i2p_One]Restock a vending machine	
Unblock {[COUNT]} Toilets[i2p_One]Unblock a toilet	
Mop up {[COUNT]} bits of mess[i2p_One]Mop up a bit of mess	
Complete {[COUNT]} Marketing Campaigns[i2p_One]Complete a Marketing Campaign	
Complete {[PROJECT]} Research Project	
Complete {[COUNT]} Research Projects[i2p_One]Complete a Research Project	
Complete {[COUNT]} Multiplayer Challenges[i2p_One]Complete a Multiplayer Challenge	
Cure {[COUNT]} {[ROOM]} Patients in a Row	
"Cure a number of patients in a row. Sending a patient home, or having one rage quit will break the streak."	
Cure {[COUNT]} Patients in {[ROOM]}[i2p_One]Cure a Patient in {[ROOM]}	
Cure {[COUNT]} {[ILLNESS]} Patients in a Row	
Cure {[COUNT]} Patients in a Row	
Cure {[COUNT]} Patients with {[ILLNESS]} in {[ROOM]}[i2p_One]Cure a Patient with {[ILLNESS]} in {[ROOM]}	
Cure {[COUNT]} Patients with {[ILLNESS]}[i2p_One]Cure a Patient with {[ILLNESS]}	
Cure {[COUNT]} Patients[i2p_One]Cure a Patient	
"Cure patients by diagnosing them and providing the treatment room they require. To increase the chances of successfully curing a patient, assign your best staff to the treatment room, and upgrade your machines if you can."	
{[ILLNESS]} Cure Rate {[SCORE]}	
Cure Rate of {[SCORE]} in {[ROOM]}	
Cure Rate of {[SCORE]}	
Patients Cured: {[CURED]} / {[TOTAL]} ({[SCORE]})	
"Increase your cure rate by using your best staff for treatment, and upgrading machines where possible. Also, make sure patients don't leave or die before they get to treatment - keep them happy and diagnose them as fast as you can."	
Go {[DAYS]} days without a death	
Diagnose and Cure {[COUNT]} Patients in {[ROOM]}[i2p_One]Diagnose and Cure a Patient in {[ROOM]}	
Diagnose and Cure {[COUNT]} Patients[i2p_One]Diagnose and Cure a Patient	
Diagnose {[COUNT]} Patients with {[ILLNESS]} in {[ROOM]}[i2p_One]Diagnose a Patient with {[ILLNESS]} in {[ROOM]}	
Diagnose {[COUNT]} Patients with {[ILLNESS]}[i2p_One]Diagnose a Patient with {[ILLNESS]}	
Diagnose {[COUNT]} Patients in {[ROOM]}[i2p_One]Diagnose a Patient in {[ROOM]}	
Diagnose {[COUNT]} Patients[i2p_One]Diagnose a Patient	
"Diagnose patients with a GP's Office. If the GP isn't sure about the diagnosis, they will send the patient to other diagnosis rooms. Build more diagnosis rooms to help diagnose different illnesses."	
Done	
Earn {[CASH]}	
{[CASH]} remaining	
Earn money by diagnosing and treating patients. Consider increasing prices too.	
Earn {[SILVER]}	
{[SILVER]} remaining	
Applicant Number	
	
Patient Flow	
Generate {[COUNT]} Units of Energy	
{[COUNT]} remaining	
Infected: {[COUNT]}\nVaccines: {[VACCINES]}\nEscaped: {[ESCAPED]}	
{[COUNT]} Remaining	
Feed {[COUNT]} People	
"Cater for patients by collecting rainwater and growing fruit and vegetables. It'll take some time, and can't be rushed, but it's better for you than all that delicious, processed rubbish."	
Complete A General Marketing Campaign	
Purchase green energy machines to increase your power supply. Different types of machine will provide your hospital with different amounts of energy.	
Hire {[COUNT]} Assistants[i2p_One]Hire an Assistant	
Hire {[COUNT]} Doctors[i2p_One]Hire a Doctor	
Hire {[COUNT]} Staff	
Hire {[COUNT]} Janitors[i2p_One]Hire a Janitor	
Hire {[COUNT]} Nurses[i2p_One]Hire a Nurse	
To hire staff:\nClick on the Hire button.\nSelect the staff type you want.\nSelect a job applicant.\nClick the Hire button.\nPlace them in the hospital.	
Hospital Attractiveness of {[TARGET]}	
Current Attractiveness {[SCORE]}	
Increase hospital attractiveness by placing plants and other decorative items. Also make sure you have enough Janitors to clear up waste and keep things clean.	
Get Hospital Level to {[TARGET]}	
Current Level: {[SCORE]}	
"Increase your Hospital Level by expanding! Build more rooms, hire more and better qualified staff, or promote and train your existing staff."	
Get {[COUNT]} stars in {[LEVEL]}[i2p_One]Get a star in {[LEVEL]}	
Hospital Value of {[TARGET]}	
Current Value {[SCORE]}	
"Increase Hospital Value by earning money, expanding the hospital and increasing overall profits."	
Hygiene Rating of {[RATING]}	
Hygiene Rating {[RATING]}	
"Improve hygiene levels by placing hand sanitiser dispensers, sinks and hand dryers, as well as getting your janitors to clean up any waste around the hospital."	
Complete an Illness Marketing Campaign	
Launch {[COUNT]} Marketing Campaigns[i2p_One]Launch a Marketing Campaign	
Learn any Qualification	
Learn {[QUALIFICATION]}	
Complete a Marketing Campaign	
Complete a {[CAMPAIGN]} campaign	
Conduct {[MONTHS]} Months of Marketing	
Spend {[MONTHS]} months on any marketing campaign[i2p_One]Spend a month on any marketing campaign	
Move the Camera	
To move the camera:\nHold the Right Mouse Button and drag on the ground.\nOr move the cursor to the edges of the screen.\nOr use the {[Menu/InputActions/CameraPanUp]}{[Menu/InputActions/CameraPanLeft]}{[Menu/InputActions/CameraPanDown]}{[Menu/InputActions/CameraPanRight]} keys.	
Pitch the Camera	
To pitch the camera:\nHold the Middle Mouse Button and move the mouse up/down.\nOr use the {[Menu/InputActions/CameraPitchUp]} and {[Menu/InputActions/CameraPitchDown]} keys.	
Rotate the Camera	
